URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/303257/planetary-science-with-astronomy-undergraduate-foundation-programme.html?ref=search_card,Planetary Science with Astronomy - Undergraduate Foundation Programme,Bachelor,"Birkbeck, University of London","4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452482/law-with-business-undergraduate-foundation-programme.html?ref=search_card,Law with Business - Undergraduate Foundation Programme,Bachelor,Queen Mary University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/483130/international-studies.html?ref=search_card,International Studies,Bachelor,The University of Sydney,"5,410,594 NPR / year",Sydney,Australia,3 years
https://www.bachelorsportal.com/studies/425119/management-with-entrepreneurship-undergraduate-foundation-programme.html?ref=search_card,Management with Entrepreneurship - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/96856/chemical-engineering.html?ref=search_card,Chemical Engineering,Bachelor,Toronto Metropolitan University,"4,521,494 NPR / year",Toronto,Canada,5 years
https://www.bachelorsportal.com/studies/425323/media-and-communications-undergraduate-foundation-programme.html?ref=search_card,Media and Communications - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/421895/clinical-dental-technology-undergraduate-foundation-programme.html?ref=search_card,Clinical Dental Technology - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/450983/university-of-london-international-foundation-programme.html?ref=search_card,University of London International Foundation Programme,Bachelor,"Goldsmiths, University of London","4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/427534/european-and-international-studies-undergraduate-foundation-programme.html?ref=search_card,European and International Studies (Italian) - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/293712/psychology.html?ref=search_card,Psychology,Bachelor,University of London,"741,695 NPR / year",London,United Kingdom,3 years
https://www.bachelorsportal.com/studies/320075/philosophy.html?ref=search_card,Philosophy,Bachelor,University of Canterbury,"3,671,957 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/455291/physical-activity.html?ref=search_card,Physical Activity,Bachelor,University of Canterbury,"3,577,771 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/92558/liberal-arts-and-science.html?ref=search_card,Liberal Arts and Science,Bachelor,The University of Sydney,"5,802,218 NPR / year",Sydney,Australia,3 years
https://www.bachelorsportal.com/studies/319966/communication.html?ref=search_card,Communication,Bachelor,University of Canterbury,"3,081,273 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/490095/health-and-social-care-and-management-undergraduate-foundation-programme.html?ref=search_card,Health and Social Care and Management - Undergraduate Foundation Programme,Bachelor,"Birkbeck, University of London","4,562,605 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/320119/tourism-marketing-and-management.html?ref=search_card,Tourism Marketing and Management,Bachelor,University of Canterbury,"3,232,140 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/284838/international-tourism-management-undergraduate-foundation-programme.html?ref=search_card,International Tourism Management - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,450,063 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103358/philosophy.html?ref=search_card,Philosophy,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/421326/computing-undergraduate-foundation-programme.html?ref=search_card,Computing - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/180766/interior-design.html?ref=search_card,Interior Design,Bachelor,Manipal Academy of Higher Education,"827,214 NPR / year",Dubai,United Arab Emirates,4 years
https://www.bachelorsportal.com/studies/491757/undergraduate-foundation-programme.html?ref=search_card,Undergraduate Foundation Programme,Bachelor,Royal College of Surgeons in Ireland,"3,365,427 NPR / full",Dublin,Ireland,9 months
https://www.bachelorsportal.com/studies/319998/environmental-science.html?ref=search_card,Environmental Science (Hons),Bachelor,University of Canterbury,"3,576,067 NPR / year",Christchurch,New Zealand,4 years
https://www.bachelorsportal.com/studies/427538/film-television-and-digital-production-undergraduate-foundation-programme.html?ref=search_card,"Film, Television and Digital Production - Undergraduate Foundation Programme",Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/133806/music-production.html?ref=search_card,Music Production,Bachelor,Full Sail University,"12,818,086 NPR / full",Winter Park,United States,9 months
https://www.bachelorsportal.com/studies/21016/biomedical-sciences.html?ref=search_card,Biomedical Sciences,Bachelor,Brunel University of London,"4,891,042 NPR / year",London,United Kingdom,3 years
https://www.bachelorsportal.com/studies/425317/history-and-politics-undergraduate-foundation-programme.html?ref=search_card,History and Politics - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/455161/biosecurity.html?ref=search_card,Biosecurity,Bachelor,University of Canterbury,"3,586,721 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/48614/psychology.html?ref=search_card,Psychology (Hons),Bachelor,Bangor University,"3,550,666 NPR / year",Bangor,United Kingdom,3 years
https://www.bachelorsportal.com/studies/382140/commerce.html?ref=search_card,Commerce,Bachelor,University of Canterbury,"3,232,140 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/70134/university-of-london-international-foundation-programme.html?ref=search_card,University of London International Foundation Programme,Bachelor,"Birkbeck, University of London","4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/427550/politics-with-philosophy-undergraduate-foundation-programme.html?ref=search_card,Politics with Philosophy - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/96838/biomedical-sciences.html?ref=search_card,Biomedical Sciences (Hons),Bachelor,Toronto Metropolitan University,"3,942,933 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/497614/bachelor-of-science.html?ref=search_card,Bachelor of Science (Science),Bachelor,Curtin University,"4,557,472 NPR / year",Singapore,Singapore,3 years
https://www.bachelorsportal.com/studies/483099/arts-international-relations.html?ref=search_card,Arts - International Relations,Bachelor,The University of Sydney,"5,410,594 NPR / year",Sydney,Australia,3 years
https://www.bachelorsportal.com/studies/489772/undergraduate-foundation-programme.html?ref=search_card,Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/455294/professional-and-community-engagement.html?ref=search_card,Professional and Community Engagement,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/478211/postgraduate-diploma-in-international-hospitality-management.html?ref=search_card,Postgraduate Diploma in International Hospitality Management,Master,Asian Institute of Hospitality and Management (AIHM),"1,736,849 NPR / year",Bangkok,Thailand,1 year
https://www.bachelorsportal.com/studies/284956/children-schools-and-families-undergraduate-foundation-programme.html?ref=search_card,"Children, Schools and Families - Undergraduate Foundation Programme",Bachelor,The University of Lancashire,"3,450,063 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/463581/graphic-design-and-digital-media-marketing.html?ref=search_card,Graphic Design and Digital Media Marketing,Bachelor,Manipal Academy of Higher Education,"501,694 NPR / year",Manipal,India,3 years
https://www.bachelorsportal.com/studies/342740/business.html?ref=search_card,Business,Bachelor,Seneca Polytechnic,"1,845,783 NPR / year",Toronto,Canada,2 years
https://www.bachelorsportal.com/studies/427545/modern-and-contemporary-history-undergraduate-foundation-programme.html?ref=search_card,Modern and Contemporary History - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
